case,run_id,attempt,seed,variant,status,exact_payload_match,artifact_available,failure_count,scan_pass_rate,module_error_rate,changed_pixel_ratio,mean_absolute_change,entropy_bits,clipped_pixel_ratio,brightness_mean,contrast_std,sharpness_laplacian
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_srl,rejected,False,True,26,0.0,0.149938,0.4144859313964844,0.04837843951056985,6.769021336936578,0.16205215454101562,0.5191173777860754,0.7377373928023312,2815.594037140938
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_rounded_16,rejected,True,False,2,0.923077,0.0,0.6636123657226562,0.1464870577544169,5.482269863694536,0.5096092224121094,0.6137526418648515,0.8615595218894624,5266.206780438875
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_rounded_32,rejected,True,False,2,0.923077,0.0,0.6721115112304688,0.15128536349028546,4.614339952910136,0.6359634399414062,0.6153017530254289,0.877026454589444,5097.234535217285
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_rounded_48,rejected,True,False,2,0.923077,0.0,0.687225341796875,0.1557034910114762,5.334258106024733,0.5302391052246094,0.6163588131175322,0.8703514103143041,4954.87711430118
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_perceptual_16,rejected,True,False,2,0.923077,0.005831,0.6533851623535156,0.1195339626736111,5.979111254642213,0.19921875,0.5948530309340533,0.8367203220431635,4228.724434303336
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_perceptual_16_strong,rejected,True,False,1,0.961538,0.0,0.6621322631835938,0.14287290884778392,5.519283606555625,0.5088157653808594,0.6116938273111979,0.8569294950775364,4678.215729718662
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_perceptual_32,rejected,True,False,1,0.961538,0.002499,0.6634101867675781,0.12681062486436634,5.918957535621701,0.20195770263671875,0.598813674029182,0.8425383315633687,4260.700310157828
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_perceptual_32_strong,rejected,True,False,2,0.923077,0.000416,0.6649627685546875,0.13788844588535284,5.50482423196085,0.51690673828125,0.606007609647863,0.8602480043097205,4694.2937860541115
geometric-packaging,a9f8dfee-afe3-4d68-a84e-de44ad2a4829,1,2026,guided_latent_perceptual_32_wide,accepted,True,False,0,1.0,0.0,0.6738014221191406,0.143301077450023,5.792905394691317,0.298431396484375,0.6105778563256358,0.8496013621391403,4351.10470530296
cosmetics-organic,0a209fab-2131-4c19-b025-cf8d5d9adfc5,1,31415,raw,rejected,False,True,26,0.0,0.083715,0.0,0.0,7.541704167963944,0.08768463134765625,0.5966143888585708,0.7026852510107073,3244.0424994729547
